UID        PID  PPID  C STIME TTY          TIME CMD
voyeurs   3392  3391  0 Oct23 pts/2    00:00:00 -bash
root      5886   755  0 23:27 ?        00:00:00 sshd: voyeurs [priv]
voyeurs   5966  5886  0 23:27 ?        00:00:00 sshd: voyeurs@pts/3
voyeurs   6371  5966  0 23:29 pts/3    00:00:00 /bin/sh -c sudo -H -S -n -u root /bin/sh -c 'echo BECOME-SUCCESS-rpfsrbmjkvxqxrcxqkddvpelkadkjlpx; /usr/bin/python /home/voyeurs/.ansible/tmp/ansible-tmp-1571959746.1198287-62990253402055/AnsiballZ_command.py' && sleep 0
root      6372  6371  0 23:29 pts/3    00:00:00 sudo -H -S -n -u root /bin/sh -c echo BECOME-SUCCESS-rpfsrbmjkvxqxrcxqkddvpelkadkjlpx; /usr/bin/python /home/voyeurs/.ansible/tmp/ansible-tmp-1571959746.1198287-62990253402055/AnsiballZ_command.py
root      6373  6372  0 23:29 pts/3    00:00:00 /bin/sh -c echo BECOME-SUCCESS-rpfsrbmjkvxqxrcxqkddvpelkadkjlpx; /usr/bin/python /home/voyeurs/.ansible/tmp/ansible-tmp-1571959746.1198287-62990253402055/AnsiballZ_command.py
root      6374  6373  0 23:29 pts/3    00:00:00 /usr/bin/python /home/voyeurs/.ansible/tmp/ansible-tmp-1571959746.1198287-62990253402055/AnsiballZ_command.py
root      6375  6374  0 23:29 pts/3    00:00:00 /bin/sh -c ps -ef
root      6376  6375  0 23:29 pts/3    00:00:00 ps -ef
root      6424     2  0 18:59 ?        00:00:02 [kworker/u2:2]
root     15228     2  0 22:31 ?        00:00:00 [kworker/u2:3]
root     22395     2  0 22:33 ?        00:00:01 [kworker/0:2]
mysql    22626     1  0 22:33 ?        00:00:02 /usr/sbin/mysqld --daemonize --pid-file=/run/mysqld/mysqld.pid
root     29709     1  0 22:34 ?        00:00:00 /usr/sbin/apache2 -k start
www-data 29715 29709  0 22:34 ?        00:00:00 /usr/sbin/apache2 -k start
www-data 29716 29709  0 22:34 ?        00:00:00 /usr/sbin/apache2 -k start
www-data 29717 29709  0 22:34 ?        00:00:00 /usr/sbin/apache2 -k start
www-data 29718 29709  0 22:34 ?        00:00:00 /usr/sbin/apache2 -k start
www-data 29719 29709  0 22:34 ?        00:00:00 /usr/sbin/apache2 -k start
root     31390     2  0 22:48 ?        00:00:00 [kworker/u2:0]
