UID        PID  PPID  C STIME TTY          TIME CMD
root      1217     1  0 Oct23 ?        00:00:01 /sbin/smbd -D
root      1218  1217  0 Oct23 ?        00:00:00 /sbin/smbd -D
root      1220  1217  0 Oct23 ?        00:00:00 /sbin/smbd -D
root      1269     1  0 Oct23 ?        00:00:01 auditd
root      1292     1  0 Oct23 ?        00:00:03 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
rpc       1315     1  0 Oct23 ?        00:00:00 rpcbind
rpcuser   1333     1  0 Oct23 ?        00:00:00 rpc.statd
root      1356     2  0 Oct23 ?        00:00:00 [rpciod/0]
root      1357     2  0 Oct23 ?        00:00:00 [rpciod/1]
root      1358     2  0 Oct23 ?        00:00:00 [rpciod/2]
root      1359     2  0 Oct23 ?        00:00:00 [rpciod/3]
root      1363     1  0 Oct23 ?        00:00:00 rpc.idmapd
root      1384     1  0 Oct23 ?        00:00:14 lldpad -d
root      1393     2  0 Oct23 ?        00:00:00 [scsi_tgtd/0]
root      1394     2  0 Oct23 ?        00:00:00 [scsi_tgtd/1]
root      1395     2  0 Oct23 ?        00:00:00 [scsi_tgtd/2]
root      1396     2  0 Oct23 ?        00:00:00 [scsi_tgtd/3]
root      1399     2  0 Oct23 ?        00:00:00 [fc_exch_workque]
root      1400     2  0 Oct23 ?        00:00:00 [fc_rport_eq]
root      1402     2  0 Oct23 ?        00:00:00 [fcoe_work/0]
root      1403     2  0 Oct23 ?        00:00:00 [fcoe_work/1]
root      1404     2  0 Oct23 ?        00:00:00 [fcoe_work/2]
root      1405     2  0 Oct23 ?        00:00:00 [fcoe_work/3]
root      1406     2  0 Oct23 ?        00:00:00 [fcoethread/0]
root      1407     2  0 Oct23 ?        00:00:00 [fcoethread/1]
root      1408     2  0 Oct23 ?        00:00:00 [fcoethread/2]
root      1409     2  0 Oct23 ?        00:00:00 [fcoethread/3]
root      1410     2  0 Oct23 ?        00:00:00 [bnx2fc]
root      1411     2  0 Oct23 ?        00:00:00 [bnx2fc_l2_threa]
root      1412     2  0 Oct23 ?        00:00:00 [bnx2fc_thread/0]
root      1413     2  0 Oct23 ?        00:00:00 [bnx2fc_thread/1]
root      1414     2  0 Oct23 ?        00:00:00 [bnx2fc_thread/2]
root      1415     2  0 Oct23 ?        00:00:00 [bnx2fc_thread/3]
root      1418     1  0 Oct23 ?        00:00:01 /usr/sbin/fcoemon --syslog
root      1485     1  0 Oct23 ?        00:00:05 sendmail: accepting connections
smmsp     1493     1  0 Oct23 ?        00:00:00 sendmail: Queue runner@01:00:00 for /var/spool/clientmqueue
root      1502     1  0 Oct23 ?        00:00:00 crond
root      1513     1  0 Oct23 ?        00:00:00 /usr/sbin/atd
root      1525     1  0 Oct23 ?        00:00:08 /usr/sbin/atd
root      1533     1  0 Oct23 ?        00:00:00 login -- root     
root      1535     1  0 Oct23 tty2     00:00:00 /sbin/mingetty /dev/tty2
root      1537     1  0 Oct23 tty3     00:00:00 /sbin/mingetty /dev/tty3
root      1539     1  0 Oct23 tty4     00:00:00 /sbin/mingetty /dev/tty4
root      1541     1  0 Oct23 tty5     00:00:00 /sbin/mingetty /dev/tty5
root      1543     1  0 Oct23 tty6     00:00:00 /sbin/mingetty /dev/tty6
root      1545   558  0 Oct23 ?        00:00:00 /sbin/udevd -d
root      1546   558  0 Oct23 ?        00:00:00 /sbin/udevd -d
root      6086     1  0 15:57 ?        00:00:00 sshd: voyeurs [priv]
voyeurs   6088  6086  0 15:57 ?        00:00:00 sshd: voyeurs@pts/1
voyeurs   6089  6088  0 15:57 pts/1    00:00:00 -bash
root      8472  1193  0 16:18 ?        00:00:00 /bin/sh
root      8549     1  0 16:18 ?        00:00:00 /usr/sbin/sshd
root      8594  8549  0 16:18 ?        00:00:00 sshd: voyeurs [priv]
voyeurs   8596  8594  0 16:18 ?        00:00:00 sshd: voyeurs@pts/0
voyeurs   8597  8596  0 16:18 pts/0    00:00:00 -bash
root      8644  8549  0 16:18 ?        00:00:00 sshd: voyeurs [priv]
voyeurs   8646  8644  0 16:18 ?        00:00:00 sshd: voyeurs@pts/2
voyeurs   8647  8646  0 16:18 pts/2    00:00:00 -bash
